NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Phases,Funder Type,Study Type,Results First Posted
NCT02642042,Trametinib and Docetaxel in Treating Patients With Recurrent or Stage IV KRAS Mutation Positive Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT02642042,ACTIVE_NOT_RECRUITING,YES,KRAS Gene Mutation|Recurrent Lung Non-Small Cell Carcinoma|Stage IV Lung Non-Small Cell Cancer AJCC v7,DRUG: Docetaxel|OTHER: Laboratory Biomarker Analysis|DRUG: Trametinib,PHASE2,NIH,INTERVENTIONAL,12/1/2020
NCT00103142,Vaccine Therapy in Treating Patients With Liver or Lung Metastases From Colorectal Cancer,https://clinicaltrials.gov/study/NCT00103142,COMPLETED,YES,Colorectal Cancer|Metastatic Cancer,BIOLOGICAL: falimarev|BIOLOGICAL: inalimarev|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic autologous dendritic cells,PHASE2,OTHER,INTERVENTIONAL,1/16/2014
NCT03213665,"Tazemetostat in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocytic Disorders With EZH2, SMARCB1, or SMARCA4 Gene Mutations (A Pediatric MATCH Treatment Trial)",https://clinicaltrials.gov/study/NCT03213665,ACTIVE_NOT_RECRUITING,YES,Advanced Malignant Solid Neoplasm|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor|Low Grade Glioma|Recurrent Ependymoma|Recurrent Ewing Sarcoma|Recurrent Glioma|Recurrent Hepatoblastoma|Recurrent Hodgkin Lymphoma|Recurrent Langerhans Cell Histiocytosis|Recurrent Malignant Germ Cell Tumor|Recurrent Malignant Glioma|Recurrent Malignant Solid Neoplasm|Recurrent Medulloblastoma|Recurrent Neuroblastoma|Recurrent Non-Hodgkin Lymphoma|Recurrent Osteosarcoma|Recurrent Peripheral Primitive Neuroectodermal Tumor|Recurrent Primary Central Nervous System Neoplasm|Recurrent Rhabdoid Tumor|Recurrent Rhabdomyosarcoma|Recurrent Soft Tissue Sarcoma|Refractory Hodgkin Lymphoma|Refractory Langerhans Cell Histiocytosis|Refractory Malignant Germ Cell Tumor|Refractory Malignant Glioma|Refractory Malignant Solid Neoplasm|Refractory Medulloblastoma|Refractory Neuroblastoma|Refractory Non-Hodgkin Lymphoma|Refractory Osteosarcoma|Refractory Peripheral Primitive Neuroectodermal Tumor|Refractory Rhabdoid Tumor|Refractory Soft Tissue Sarcoma|Rhabdoid Tumor|Stage III Soft Tissue Sarcoma AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Wilms Tumor,DRUG: Tazemetostat,PHASE2,NIH,INTERVENTIONAL,4/5/2023
NCT02127372,"Maximum Tolerated Dose, Safety and Efficacy of Docetaxel / Cisplatin + STI571",https://clinicaltrials.gov/study/NCT02127372,TERMINATED,YES,Non-small Cell Lung Cancer,"DRUG: Docetaxel, Cisplatin and STI571|DRUG: Docetaxel|DRUG: Cisplatin",PHASE1|PHASE2,OTHER,INTERVENTIONAL,9/5/2014
NCT02395172,Avelumab in Non-Small Cell Lung Cancer (JAVELIN Lung 200),https://clinicaltrials.gov/study/NCT02395172,COMPLETED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: Avelumab|DRUG: Docetaxel,PHASE3,INDUSTRY,INTERVENTIONAL,11/20/2018
NCT01222572,Stereotactic Boost for Locally Advanced Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01222572,TERMINATED,YES,Non-small Cell Lung Cancer|Lung Cancer|NSCLC,RADIATION: Stereotactic boost|RADIATION: Conventional RT|DRUG: Etoposide|DRUG: Cisplatin,PHASE1|PHASE2,OTHER,INTERVENTIONAL,8/25/2014
NCT03164772,Phase 1/2 Study of Combination Immunotherapy and Messenger Ribonucleic Acid (mRNA) Vaccine in Subjects With NSCLC,https://clinicaltrials.gov/study/NCT03164772,COMPLETED,YES,Metastatic Non-small Cell Lung Cancer|NSCLC,DRUG: Durvalumab|DRUG: Tremelimumab|BIOLOGICAL: BI 1361849|DEVICE: PharmaJet Tropis® device,PHASE1|PHASE2,OTHER,INTERVENTIONAL,6/17/2022
NCT01042288,"Carboplatin, Pemetrexed, and Panitumumab in Patients With Advanced Non-Squamous K-ras Wild Type NSCLC",https://clinicaltrials.gov/study/NCT01042288,COMPLETED,YES,Non-Small-Cell Lung Cancer,DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Panitumumab,PHASE2,OTHER,INTERVENTIONAL,3/16/2016
NCT00107172,Surgery With or Without Internal Radiation Therapy in Treating Patients With Stage I Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00107172,COMPLETED,YES,Lung Cancer,PROCEDURE: surgery|RADIATION: brachytherapy,PHASE3,OTHER,INTERVENTIONAL,9/2/2015
NCT00591838,A Phase I/II Trial of Stereotactic Body Radiation Therapy,https://clinicaltrials.gov/study/NCT00591838,COMPLETED,YES,Inoperable Stage I/II Non-small Cell Lung Cancer,RADIATION: Stereotactic Body Radiation Therapy (SBRT),PHASE1|PHASE2,OTHER,INTERVENTIONAL,6/4/2019
NCT01970865,A Study Of PF-06463922 An ALK/ROS1 Inhibitor In Patients With Advanced Non Small Cell Lung Cancer With Specific Molecular Alterations,https://clinicaltrials.gov/study/NCT01970865,COMPLETED,YES,ALK-positive Non Small Cell Lung Cancer (NSCLC) and ROS1-positive NSCLC,DRUG: PF-06463922|DRUG: Crizotinib,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,3/5/2018
NCT02296125,AZD9291 Versus Gefitinib or Erlotinib in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT02296125,ACTIVE_NOT_RECRUITING,YES,Locally Advanced or Metastatic EGFR Sensitising Mutation Positive Non Small Cell Lung Cancer,DRUG: AZD9291 80 mg/40 mg + placebo|DRUG: Placebo Erlotinib 150/100mg|DRUG: Placebo Gefitinib 250 mg|DRUG: Erlotinib 150/100 mg|DRUG: Gefitinib 250 mg|DRUG: Placebo AZD9291 80 mg/ 40 mg,PHASE3,INDUSTRY,INTERVENTIONAL,6/13/2018
NCT00201825,A Phase II Study of Capecitabine and Docetaxel in Previously Untreated Advanced Non-Small Cell Lung Cancer Patients,https://clinicaltrials.gov/study/NCT00201825,COMPLETED,YES,Lung Cancer|Non-Small-Cell Lung Carcinoma,DRUG: Capecitabine|DRUG: Docetaxel,PHASE2,OTHER,INTERVENTIONAL,9/25/2014
NCT03707925,Bronchoscopic Laser Ablation of Peripheral Lung Tumors,https://clinicaltrials.gov/study/NCT03707925,TERMINATED,YES,Lung Carcinoid Tumor|Lung Non-Small Cell Carcinoma|Metastatic Lung Carcinoma|Stage IV Lung Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,PROCEDURE: Cone-Beam Computed Tomography|PROCEDURE: Conventional Surgery|PROCEDURE: Laser Ablation,NA,OTHER,INTERVENTIONAL,1/19/2023
NCT03727425,Robotic Bronchoscopy for Peripheral Pulmonary Lesions,https://clinicaltrials.gov/study/NCT03727425,COMPLETED,YES,Lung; Node,DEVICE: Robotic assisted bronchoscopy,NA,INDUSTRY,INTERVENTIONAL,9/11/2020
NCT00080938,Temozolomide and Radiation Therapy in Treating Patients With Brain Metastasis Secondary to Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00080938,COMPLETED,YES,Lung Cancer|Metastatic Cancer,DRUG: Temozolomide|RADIATION: Radiation therapy,PHASE2,NETWORK,INTERVENTIONAL,12/30/2010
NCT02926638,Lung-MAP: Rilotumumab and Erlotinib Hydrochloride or Erlotinib Hydrochloride Alone as Second-Line Therapy in Treating Patients With Recurrent Stage IV Squamous Cell Lung Cancer and Positive Biomarker Matches,https://clinicaltrials.gov/study/NCT02926638,TERMINATED,YES,MET Positive|Recurrent Squamous Cell Lung Carcinoma|Stage IV Squamous Cell Lung Carcinoma AJCC v7,DRUG: Erlotinib Hydrochloride|OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Rilotumumab,PHASE2|PHASE3,NETWORK,INTERVENTIONAL,2/11/2020
NCT03043872,Durvalumab ± Tremelimumab in Combination With Platinum Based Chemotherapy in Untreated Extensive-Stage Small Cell Lung Cancer (CASPIAN),https://clinicaltrials.gov/study/NCT03043872,ACTIVE_NOT_RECRUITING,YES,Small Cell Lung Carcinoma Extensive Disease,DRUG: Durvalumab|DRUG: Tremelimumab|DRUG: Carboplatin|DRUG: Cisplatin|DRUG: Etoposide,PHASE3,INDUSTRY,INTERVENTIONAL,1/21/2021
NCT03520842,Regorafenib and Methotrexate in Treating Participants With Recurrent or Metastatic KRAS Mutated Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03520842,COMPLETED,YES,KRAS Gene Mutation|Metastatic Malignant Neoplasm in the Brain|Recurrent Non-Small Cell Lung Carcinoma|Stage IV Non-Small Cell Lung Cancer AJCC v7,DRUG: Methotrexate|OTHER: Pharmacokinetic Study|DRUG: Regorafenib,PHASE2,OTHER,INTERVENTIONAL,6/15/2023
NCT01646125,"An Open-label, Randomized Phase II Study to Evaluate the Efficacy of AUY922 vs Pemetrexed or Docetaxel in NSCLC Patients With EGFR Mutations",https://clinicaltrials.gov/study/NCT01646125,TERMINATED,YES,Advanced Non Small Cell Lung Cancer (NSCLC),DRUG: AUY922|DRUG: Docetaxel|DRUG: Pemetrexed,PHASE2,INDUSTRY,INTERVENTIONAL,11/3/2016
NCT00499655,Erlotinib Hydrochloride With or Without Celecoxib in Treating Patients With Stage IIIB-IV Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00499655,COMPLETED,YES,Recurrent Non-small Cell Lung Cancer|Stage IIIB Non-small Cell Lung Cancer|Stage IV Non-small Cell Lung Cancer,DRUG: erlotinib hydrochloride|DRUG: celecoxib|OTHER: placebo|OTHER: laboratory biomarker analysis|OTHER: immunohistochemistry staining method|GENETIC: fluorescence in situ hybridization|GENETIC: mutation analysis|GENETIC: protein expression analysis|GENETIC: gene expression analysis,PHASE2,OTHER,INTERVENTIONAL,1/6/2017
NCT01241565,ENDO GIA™ Stapler With ENDO GIA™ Reload With Tri-Staple™ Technology in a Pulmonary Resection,https://clinicaltrials.gov/study/NCT01241565,COMPLETED,YES,Lung Cancer,DEVICE: ENDO GIA™ Stapler with TRI-STAPLE™ Technology,NA,INDUSTRY,INTERVENTIONAL,3/31/2014
NCT01692951,Serum Free Fatty Acid Metabolite Biomarkers of Lung Cancer,https://clinicaltrials.gov/study/NCT01692951,COMPLETED,YES,Lung Cancer|Biomarkers|Fatty Acids,OTHER: serum sample,,OTHER,OBSERVATIONAL,2/21/2017
NCT00773955,R-(-)-Gossypol Acetic Acid in Treating Patients With Recurrent Extensive-Stage Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00773955,COMPLETED,YES,Extensive Stage Small Cell Lung Cancer|Recurrent Small Cell Lung Cancer,DRUG: R-(-)-gossypol acetic acid|OTHER: pharmacological study|OTHER: laboratory biomarker analysis,PHASE2,NIH,INTERVENTIONAL,2/13/2013
NCT00525148,"LUX Lung 2 Phase II Single Arm BIBW 2992 ""Afatinib"" in NSCLC With EGFR Activating Mutations",https://clinicaltrials.gov/study/NCT00525148,COMPLETED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: BIBW 2992,PHASE2,INDUSTRY,INTERVENTIONAL,8/8/2013
NCT00417248,Cisplatin/Etoposide/Radiotherapy Followed by Consolidation Sorafenib for Inoperable Stage III Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00417248,TERMINATED,YES,Non-Small Cell Lung Cancer,DRUG: Cisplatin|DRUG: Etoposide|PROCEDURE: Radiotherapy|DRUG: Sorafenib,PHASE1|PHASE2,OTHER,INTERVENTIONAL,5/4/2016
NCT02848651,A Study of Atezolizumab as First-line Monotherapy for Advanced or Metastatic Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT02848651,COMPLETED,YES,Non-Small Cell Lung Cancer,DRUG: Atezolizumab,PHASE2,INDUSTRY,INTERVENTIONAL,4/15/2020
NCT01199055,CS-7017 in Combination With Carboplatin/Paclitaxel in Subjects With Stage IIIb/IV Non-small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT01199055,COMPLETED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: CS-7017|DRUG: Carboplatin|DRUG: Paclitaxel,PHASE1,INDUSTRY,INTERVENTIONAL,6/4/2020
NCT02336451,A Phase II Study to Evaluate the Efficacy and Safety of Oral Ceritinib in Patients With ALK-positive NSCLC Metastatic to the Brain and/or to Leptomeninges,https://clinicaltrials.gov/study/NCT02336451,COMPLETED,YES,ALK-positive Non-small Cell Lung Cancer,DRUG: Ceritinib,PHASE2,INDUSTRY,INTERVENTIONAL,2/6/2020
NCT01104155,"Eribulin Mesylate in Combination With Intermittent Erlotinib in Patients With Previously Treated, Advanced Non-Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT01104155,COMPLETED,YES,Non-small Cell Lung Cancer,DRUG: eribulin mesylate + erlotinib|DRUG: eribulin mesylate + erlotinib,PHASE2,INDUSTRY,INTERVENTIONAL,12/22/2016
NCT02474355,Real World Treatment Study of AZD9291 for Advanced/Metastatic EGFR T790M Mutation NSCLC,https://clinicaltrials.gov/study/NCT02474355,COMPLETED,YES,Lung Cancer,PROCEDURE: T790M+ Testing|PROCEDURE: Baseline Visit Blood & Urine Testing|PROCEDURE: Baseline ECG|PROCEDURE: Visual Slit-Lamp Testing|DRUG: AZD9291 Dosing,PHASE3,INDUSTRY,INTERVENTIONAL,8/12/2021
NCT00278148,"Erlotinib, Paclitaxel, and Carboplatin Combined With Radiation Therapy for Stage III Non-Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00278148,COMPLETED,YES,Lung Cancer,DRUG: carboplatin|DRUG: Erlotinib|DRUG: paclitaxel|PROCEDURE: conventional surgery|RADIATION: radiation therapy,PHASE1|PHASE2,OTHER,INTERVENTIONAL,2/27/2019
NCT00729612,"Paclitaxel Albumin-Stabilized Nanoparticle Formulation and Carboplatin in Treating Patients With Stage IIIB, Stage IV, or Recurrent Non-Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00729612,COMPLETED,YES,Lung Cancer,DRUG: carboplatin|DRUG: paclitaxel albumin-stabilized nanoparticle formulation|GENETIC: protein expression analysis|OTHER: immunoenzyme technique|OTHER: immunohistochemistry staining method|OTHER: laboratory biomarker analysis,PHASE2,OTHER,INTERVENTIONAL,4/28/2016
NCT00143455,Study Of Irinotecan Hydrochloride (Campto(R)) And Cisplatin Versus Etoposide And Cisplatin In Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00143455,COMPLETED,YES,Small Cell Lung Carcinoma,DRUG: Etoposide + cisplatin|DRUG: Irinotecan + cisplatin,PHASE3,INDUSTRY,INTERVENTIONAL,12/11/2009
NCT01642251,Cisplatin and Etoposide With or Without Veliparib in Treating Patients With Extensive Stage Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01642251,COMPLETED,YES,Extensive Stage Small Cell Lung Carcinoma|Large Cell Lung Carcinoma|Neuroendocrine Carcinoma|Small Cell Carcinoma|Stage IV Non-Small Cell Lung Cancer AJCC v7,DRUG: Cisplatin|DRUG: Etoposide|DRUG: Veliparib|DRUG: Placebo,PHASE1|PHASE2,NIH,INTERVENTIONAL,9/7/2018
NCT02588612,Letetresgene Autoleucel Engineered T Cells in NY-ESO -1 Positive Advanced Non-Small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT02588612,COMPLETED,YES,Neoplasms,DRUG: letetresgene autoleucel (GSK3377794)|DRUG: Cyclophosphamide|DRUG: Fludarabine,PHASE1,INDUSTRY,INTERVENTIONAL,8/10/2021
NCT03689855,Ramucirumab and Atezolizumab After Progression on Any Immune Checkpoint Blocker in NSCLC,https://clinicaltrials.gov/study/NCT03689855,ACTIVE_NOT_RECRUITING,YES,Non-small Cell Lung Cancer|Non Small Cell Lung Cancer|NSCLC,DRUG: Ramucirumab|DRUG: Atezolizumab|PROCEDURE: Peripheral blood draw|PROCEDURE: Biopsy,PHASE2,OTHER,INTERVENTIONAL,7/14/2022
NCT00320255,A Phase 2 Pilot Study of Apixaban for the Prevention of Thromboembolic Events in Patients With Advanced (Metastatic) Cancer,https://clinicaltrials.gov/study/NCT00320255,COMPLETED,YES,Thrombosis|Cancer|Pulmonary Embolism,DRUG: Apixaban|DRUG: Placebo,PHASE2,INDUSTRY,INTERVENTIONAL,3/14/2016
NCT01029925,Dichloroacetate (DCA) in Patients With Previously Treated Metastatic Breast or Non-Small Cell Lung Cancer (NSCL),https://clinicaltrials.gov/study/NCT01029925,TERMINATED,YES,Metastatic Breast Cancer|Lung Cancer,DRUG: Dichloroacetate (DCA),PHASE2,OTHER,INTERVENTIONAL,4/2/2013
NCT00445848,S0636: Erlotinib and Bevacizumab in Never-Smokers With Stage IIIB or Stage IV Primary Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00445848,COMPLETED,YES,Lung Cancer,BIOLOGICAL: bevacizumab|DRUG: erlotinib hydrochloride,PHASE2,NETWORK,INTERVENTIONAL,5/6/2016
NCT03400748,ANET Electrosurgery Applicator Pilot Evaluation Study,https://clinicaltrials.gov/study/NCT03400748,TERMINATED,YES,Lung Cancer|Lung Cancer Metastatic,DEVICE: RF Ablation,NA,INDUSTRY,INTERVENTIONAL,6/25/2021
NCT02709512,Ph 2/3 Study in Subjects With MPM to Assess ADI-PEG 20 With Pemetrexed and Cisplatin,https://clinicaltrials.gov/study/NCT02709512,COMPLETED,YES,Mesothelioma,DRUG: ADI-PEG 20 plus Pem Platinum|OTHER: Placebo plus Pem Platinum,PHASE2|PHASE3,INDUSTRY,INTERVENTIONAL,8/2/2023
NCT02259725,Regorafenib in Treating Patients With Advanced or Metastatic Neuroendocrine Tumors,https://clinicaltrials.gov/study/NCT02259725,COMPLETED,YES,Gastrinoma|Glucagonoma|Insulinoma|Metastatic Gastrointestinal Carcinoid Tumor|Pancreatic Polypeptide Tumor|Pulmonary Carcinoid Tumor|Recurrent Gastrointestinal Carcinoid Tumor|Recurrent Islet Cell Carcinoma|Somatostatinoma,DRUG: regorafenib|OTHER: laboratory biomarker analysis,PHASE2,OTHER,INTERVENTIONAL,11/15/2021
NCT04171700,A Study to Evaluate Rucaparib in Participants With Solid Tumors and With Deleterious Mutations in HRR Genes,https://clinicaltrials.gov/study/NCT04171700,TERMINATED,YES,Solid Tumor,DRUG: Rucaparib,PHASE2,INDUSTRY,INTERVENTIONAL,5/31/2023
NCT02357147,Study of the Safety and Efficacy of Amatuximab in Combination With Pemetrexed and Cisplatin in Subjects With Unresectable Malignant Pleural Mesothelioma (MPM),https://clinicaltrials.gov/study/NCT02357147,TERMINATED,YES,"Mesothelioma, Malignant",DRUG: Placebo|DRUG: Amatuximab|DRUG: Pemetrexed|DRUG: Cisplatin,PHASE2,INDUSTRY,INTERVENTIONAL,3/4/2020
NCT01063283,Dose Escalation of Bevacizumab With Ambulatory Blood Pressure Monitoring in Patients With Advanced Non-squamous NSCLC,https://clinicaltrials.gov/study/NCT01063283,COMPLETED,YES,Advanced Non-squamous Non-Small Cell Lung Cancer,DRUG: Pemetrexed|DRUG: Carboplatin|DRUG: Bevacizumab 7.5 mg/kg|DRUG: Bevacizumab 15 mg/kg,NA,OTHER,INTERVENTIONAL,10/2/2019
NCT00790400,Efficacy and Safety of RAD001 in Patients Aged 18 and Over With Angiomyolipoma Associated With Either Tuberous Sclerosis Complex (TSC) or Sporadic Lymphangioleiomyomatosis (LAM),https://clinicaltrials.gov/study/NCT00790400,COMPLETED,YES,Tuberous Sclerosis Complex (TSC)|Lymphangioleiomyomatosis (LAM),DRUG: Everolimus (RAD001)|DRUG: Everolimus Placebo,PHASE3,INDUSTRY,INTERVENTIONAL,5/23/2012
NCT02038647,Phase 2 Study of Alisertib (MLN8237) in Combination With Paclitaxel Versus Placebo in Combination With Paclitaxel as Second Line Therapy for Small Cell Lung Cancer (SCLC),https://clinicaltrials.gov/study/NCT02038647,COMPLETED,YES,Small Cell Lung Cancer,DRUG: Alisertib|DRUG: Placebo|DRUG: Paclitaxel,PHASE2,INDUSTRY,INTERVENTIONAL,2/21/2018
NCT00769600,Phase II Study of Itraconazole and Pemetrexed in Patients With Previously Treated Non-Squamous NSCLC,https://clinicaltrials.gov/study/NCT00769600,TERMINATED,YES,Recurrent Non Small Cell Lung Cancer,DRUG: Itraconazole|DRUG: Pemetrexed,PHASE2,OTHER,INTERVENTIONAL,3/20/2017
NCT00776100,Radiation Therapy or Observation After Chemotherapy in Treating Patients With Stage IV Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00776100,TERMINATED,YES,Lung Cancer,OTHER: clinical observation|RADIATION: radiation therapy,PHASE2,OTHER,INTERVENTIONAL,11/16/2016
NCT02589522,"Testing the Safety of M6620 (VX-970) When Given With Standard Whole Brain Radiation Therapy for the Treatment of Brain Metastases From Non-small Cell Lung Cancer, Small Cell Lung Cancer, or Neuroendocrine Tumors",https://clinicaltrials.gov/study/NCT02589522,ACTIVE_NOT_RECRUITING,YES,Metastatic Lung Neuroendocrine Neoplasm|Metastatic Lung Non-Small Cell Carcinoma|Metastatic Lung Small Cell Carcinoma|Metastatic Malignant Neoplasm in the Brain|Stage IV Lung Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,DRUG: Berzosertib|OTHER: Quality-of-Life Assessment|PROCEDURE: Therapeutic Conventional Surgery|RADIATION: Whole-Brain Radiotherapy,PHASE1,NIH,INTERVENTIONAL,4/18/2023
NCT01868022,"Study to Evaluate GSK3052230 in Combination With Paclitaxel and Carboplatin, or Docetaxel or as Single Agent in Subjects With Solid Malignancies and Deregulated Fibroblast Growth Factor (FGF) Pathway Signaling",https://clinicaltrials.gov/study/NCT01868022,COMPLETED,YES,Neoplasms,DRUG: GSK3052230|DRUG: paclitaxel|DRUG: carboplatin|DRUG: docetaxel|DRUG: pemetrexed|DRUG: cisplatin,PHASE1,INDUSTRY,INTERVENTIONAL,8/15/2018
NCT02671422,LUME BioNIS: a Biomarker Study in Patients With NSCLC,https://clinicaltrials.gov/study/NCT02671422,COMPLETED,YES,"Carcinoma, Non-Small-Cell Lung",,,INDUSTRY,OBSERVATIONAL,9/2/2020
NCT01786187,The Symptom Experience Study in Persons With Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01786187,COMPLETED,YES,Lung Cancer,BEHAVIORAL: Light Physical Activity|OTHER: Symptom Experience Report,PHASE1|PHASE2,OTHER,INTERVENTIONAL,6/1/2018
NCT01266447,"Veliparib, Topotecan Hydrochloride, and Filgrastim or Pegfilgrastim in Treating Patients With Persistent or Recurrent Cervical Cancer",https://clinicaltrials.gov/study/NCT01266447,COMPLETED,YES,Cervical Adenocarcinoma|Cervical Adenosquamous Carcinoma|Cervical Small Cell Carcinoma|Cervical Squamous Cell Carcinoma|Recurrent Cervical Carcinoma|Stage III Cervical Cancer|Stage IVA Cervical Cancer|Stage IVB Cervical Cancer,BIOLOGICAL: Filgrastim|OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Pegfilgrastim|DRUG: Topotecan Hydrochloride|DRUG: Veliparib,PHASE2,NIH,INTERVENTIONAL,12/7/2016
